userEmail,companyName,clockIn,clockOut,notes
ismael.blanco@acme.com,Acme Iberica SL,2026-07-10T09:10:00,2026-07-10T17:24:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-07-09T09:02:00,2026-07-09T17:25:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-07-08T09:09:00,2026-07-08T17:22:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-07-07T09:08:00,2026-07-07T17:25:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-07-06T09:14:00,2026-07-06T17:34:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-07-03T08:50:00,2026-07-03T17:05:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-07-02T09:09:00,2026-07-02T17:09:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-07-01T08:53:00,2026-07-01T17:11:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-30T08:52:00,2026-06-30T16:54:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-29T09:07:00,2026-06-29T17:10:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-26T08:55:00,2026-06-26T17:00:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-25T08:47:00,2026-06-25T16:40:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-24T08:57:00,2026-06-24T17:26:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-23T08:51:00,2026-06-23T16:40:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-22T08:55:00,2026-06-22T17:14:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-19T08:46:00,2026-06-19T16:44:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-18T08:57:00,2026-06-18T17:19:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-17T08:45:00,2026-06-17T17:06:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-16T08:45:00,2026-06-16T16:52:00,
ismael.blanco@acme.com,Acme Iberica SL,2026-06-15T08:57:00,2026-06-15T17:08:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-07-10T09:08:00,2026-07-10T17:27:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-07-09T09:13:00,2026-07-09T17:12:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-07-08T08:53:00,2026-07-08T17:05:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-07-07T08:57:00,2026-07-07T17:03:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-07-06T09:10:00,2026-07-06T17:20:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-07-03T09:11:00,2026-07-03T17:25:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-07-02T09:04:00,2026-07-02T17:23:00,Reunion cliente
adrian.diaz@acme.com,Acme Iberica SL,2026-07-01T09:03:00,2026-07-01T17:24:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-30T08:47:00,2026-06-30T17:13:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-29T09:12:00,2026-06-29T17:26:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-26T08:53:00,2026-06-26T17:02:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-25T08:59:00,2026-06-25T17:04:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-24T09:13:00,2026-06-24T17:22:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-23T09:15:00,2026-06-23T17:26:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-22T08:47:00,2026-06-22T17:02:00,Jornada intensiva
adrian.diaz@acme.com,Acme Iberica SL,2026-06-19T08:46:00,2026-06-19T16:53:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-18T08:47:00,2026-06-18T17:13:00,Teletrabajo
adrian.diaz@acme.com,Acme Iberica SL,2026-06-17T09:15:00,2026-06-17T17:15:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-16T08:45:00,2026-06-16T17:09:00,
adrian.diaz@acme.com,Acme Iberica SL,2026-06-15T08:49:00,2026-06-15T17:04:00,
adrian.perez@acme.com,Acme Iberica SL,2026-07-10T09:03:00,2026-07-10T17:01:00,
